################################################################################
2018-10-04 20:07:35,542 - ERROR - NEMbox.api:534: can't get song url, id: 64317
2018-10-04 20:07:36,215 - DEBUG - NEMbox.player:285: 196841,别说我的眼泪你无所谓,http://music.163.com/song/media/outer/url?id=196841.mp3
2018-10-04 20:12:15,294 - DEBUG - NEMbox.player:285: 277367,坚强的理由,http://music.163.com/song/media/outer/url?id=277367.mp3
################################################################################
2018-10-04 20:25:20,086 - WARNING - NEMbox.osdlyrics:26: PyQt4 module not installed.
2018-10-04 20:25:20,086 - WARNING - NEMbox.osdlyrics:27: Osdlyrics Not Available.
2018-10-04 20:25:25,821 - ERROR - NEMbox.api:534: can't get song url, id: 159681
2018-10-04 20:25:25,822 - ERROR - NEMbox.api:534: can't get song url, id: 28406491
2018-10-04 20:25:25,822 - ERROR - NEMbox.api:534: can't get song url, id: 27552554
2018-10-04 20:25:28,399 - DEBUG - NEMbox.player:285: 27552554,天竺少女,http://music.163.com/song/media/outer/url?id=27552554.mp3
2018-10-04 20:28:42,873 - DEBUG - NEMbox.player:310: Callback
2018-10-04 20:28:42,874 - DEBUG - NEMbox.menu:769: FM CallBack.
2018-10-04 20:28:48,187 - ERROR - NEMbox.api:534: can't get song url, id: 463152741
2018-10-04 20:28:48,187 - ERROR - NEMbox.api:534: can't get song url, id: 4010717
2018-10-04 20:28:48,187 - ERROR - NEMbox.api:534: can't get song url, id: 167942
2018-10-04 20:28:48,208 - DEBUG - NEMbox.player:285: 463152741,古乐风华录·妙音天成（伴奏）,http://music.163.com/song/media/outer/url?id=463152741.mp3
2018-10-04 20:28:51,757 - DEBUG - NEMbox.player:285: 4010717,Aurora,http://music.163.com/song/media/outer/url?id=4010717.mp3
2018-10-04 20:28:54,905 - DEBUG - NEMbox.player:310: Callback
2018-10-04 20:28:54,905 - DEBUG - NEMbox.menu:769: FM CallBack.
2018-10-04 20:28:55,310 - ERROR - NEMbox.api:534: can't get song url, id: 5049423
2018-10-04 20:28:55,310 - ERROR - NEMbox.api:534: can't get song url, id: 25642114
2018-10-04 20:28:55,310 - ERROR - NEMbox.api:534: can't get song url, id: 229636
################################################################################
2018-10-04 20:29:04,785 - WARNING - NEMbox.osdlyrics:26: PyQt4 module not installed.
2018-10-04 20:29:04,785 - WARNING - NEMbox.osdlyrics:27: Osdlyrics Not Available.
2018-10-04 20:29:13,600 - ERROR - NEMbox.api:534: can't get song url, id: 29999528
2018-10-04 20:29:13,600 - ERROR - NEMbox.api:534: can't get song url, id: 223994
2018-10-04 20:29:13,600 - ERROR - NEMbox.api:534: can't get song url, id: 424477863
2018-10-04 20:29:14,819 - DEBUG - NEMbox.player:285: 29999528,桃花岛,http://music.163.com/song/media/outer/url?id=29999528.mp3
2018-10-04 20:29:16,900 - DEBUG - NEMbox.player:285: 223994,你要的爱,http://music.163.com/song/media/outer/url?id=223994.mp3
2018-10-04 20:29:17,140 - DEBUG - NEMbox.player:285: 424477863,结婚 (2016 unplugged),http://music.163.com/song/media/outer/url?id=424477863.mp3
2018-10-04 20:29:17,145 - DEBUG - NEMbox.player:310: Callback
2018-10-04 20:29:17,146 - DEBUG - NEMbox.menu:769: FM CallBack.
2018-10-04 20:29:17,322 - ERROR - NEMbox.api:534: can't get song url, id: 27927021
2018-10-04 20:29:17,322 - ERROR - NEMbox.api:534: can't get song url, id: 475073280
